Provider Type,Hours Of Operation,DMF Name,DMF Address 1,DMF Address 2,DMF City,DMF State,DMF Zip Code,DMF Phone,DMF Fax
Other,Mon-Fri: 0700-1800,Athletico Physical Therapy,3301 E Elkhorn Dr,,Fremont,NE,68025,402-721-0235,402-721-6167
Clinic,Mon-Fri: 10:00-22:00 S-S 12p-6p,Methodist Health System,1240 E 23rd St,,Fremont,NE,68025,402-354-2273,4028157105
Occupational Medicine,Mon-Fri: 0700-1600,MN Occupational Health,10239 Baltimore Street NE,#300,Blaine,MN,55449,651-968-5300,651-730-3516
Occupational Medicine,Mon-Fri: 0700-1600,MN Occupational Health,600 Coon Rapids Blvd NW,,Coon Rapids,MN,55433,651-968-5300,651-646-0205
Clinic-Concentra,Mon-Fri: 8a-5p,Concentra,2331 Alpine Ave NW,,Grand Rapids,MI,49544,616-785-2613,616-447-1930
Clinic-Concentra,Mon-Fri: 7a-5p,Concentra,335 North 120th Ave,,Holland,MI,49424,616-392-5222,616-392-3653
Clinic / Urgent Care,Mon-Fri 8am - 8pm,WellNow Clinic,1325 N. West Ave,,Jackson,MI,49202,517-395-2246,
EMR Med / Occ Med,Mon-Fri: 8a-7:30p,Covenant Med Express,2970 Pierce Rd,,Saginaw,MI,48604,989-583-0285,
Urgent Care,Mon-Fri: 7a-5p,NMedExpress Urgent Care,2558 Henry St,,Muskegon,MI,49441,231-755-6184,
Occ Med / Urgent Care,Mon-Fri: 9a-7p; Sat-Sun 8am-4pm,Munson Healthcare ,1996 Walden Dr,,Gaylord,MI,49735,989-731-4111,
Occ Med / Urgent Care,Mon - Fri 7am - 5pm,Bronson Pro Health,820 John St,Ste 102,Kalamazoo,MI,49001,269-341-8938,269-341-7556
Urgent Care,Mon-Fri: 9a-5p,Central Michigan Urgent Care,520 N. Mission St,,Mount Pleasant,MI,48858,989-772-9300,
Urgent Care / Occ Med,Mon-Fri: 7a-5p,Lansing Urgent Care,4440 W Saginaw Hwy,,Lansing,MI,48917,517-327-6400,
Clinic-Concentra,Mon-Fri: 7a-8p,Concentra,6423 Columbia Avenue,,Hammond,IN,46320,219-937-3632,219-937-4715
Occ Med / Urgent Care,Mon-Sat: 8a-7:30p; Sun 9am-5:30pm,Covenant Medical Center Express,2970 Pierce Rd,Ste #2,Saginaw,MI,48604,989-583-0287,989-583-0288
Urgent Care,Mon-Fri 8am - 8pm,WellNow Clinic,9065 E. 34th Road,,Cadillac,MI,49601,231-577-5017,
Clinic-Concentra,Mon-Fri: 8a-5p,Concentra,1830 Jarvis Avenue,,Elk Grove Village,IL,60007,847-952-1180,847-952-1183
Urgent Care,Mon 7am - 5pm Tues-Fri 8am -5pm ,Munson Urgent CARE,550 Munson Ave,,Traverse City,MI,49686,231-935-8686,231-935-8708
