"Site Key","OperationType","LocationName","Address","City","State","ZIP","Lat","Long","Region","Director","VP","Manager","Asst Manager","Admin","Inside Sales","Phone"
"610-TC","Tire Center","Grand Rapids","1640 Olson St","Grand Rapids","MI","49503","42.9797","-85.63","East","Corson","Hagenow","Ladd Houtstra","Geraud Fenicie",,"Derek Blais / Noah Wright","616-458-7667"
"710-RTRD","Retread","Grand Rapids Retread","530 Ball Ave NE","Grand Rapids","MI","49503","42.9861","-85.6643","East","Kusilek","Kusilek","Brian Ramirez Valtierra",,,,"616-458-7667"
"036-TC","Tire Center","Indianapolis","5719 Kopetsky Dr","Indianapolis","IN","46271","39.6785","-86.2607","East","Sharrett","Hagenow","Anthony Summers","Rick Price","Brittany Williams",,"317-786-9223"
"736-RTRD","Retread","Indianapolis","5719 Kopetsky Dr","Indianapolis","IN","46271","39.6785","-86.2607","East","Kusilek","Kusilek","Joey Mindach",,,,"317-786-9223"
"612-TC","Tire Center","Jackson","1608 Cooper St","Jackson","MI","49202","42.2626","-84.3787","East","Sharrett","Hagenow","Michael Usher",,,"Donald Simons","517-782-9747"
"045-TC","Tire Center","Joplin","4841 E 32nd St","Joplin","MO","64804","37.052","-94.4639","West","St Aubin","Weber","Brett Black",,"Amanda Coy",,"417-680-0129"
"623-TC","Tire Center","Kalkaska","122 S Cedar St","Kalkaska","MI","49646","44.7343","-85.1723","East","Corson","Hagenow","Ted Maybank",,,,"231-258-2300"
"041-TC","Tire Center","Kansas City","5150 E Front St","Kansas City","MO","64120","39.1299","-94.5193","West","St Aubin","Weber","Marcus Cloe",,,"Raven Lawson / Dawn Bailey","816-897-3529"
"618-TC","Tire Center","Lansing","1313 S Waverly Rd","Lansing","MI","48917","42.7064","-84.6074","East","Sharrett","Hagenow","Joe Cooper",,,,"517-253-0199"
"073-TC","Tire Center","Le Roy","510 W Main St","Le Roy","MN","55951","43.5083","-92.512","West","Seffinga","Weber","Nate McCloud",,,"Tim Siskow","507-324-5638"
"085-TC","Tire Center","Lexington","2810 Heartland Dr","Lexington","NE","68850","40.7774","-99.7491","West","Alex","Weber","Jeremy Florke",,"Sara Nichols",,"308-324-4881"
"084-TC","Tire Center","Lincoln","7800 N 56th St","Lincoln","NE","68514","40.8856","-96.6423","West","Alex","Weber","Jake Remus",,"Joslyn Knopp-Smith",,"402-464-7800"
"017-TC","Tire Center","Manitowoc","1501 S 41st St","Manitowoc","WI","54220","44.0804","-87.7021","Central","Westphall","Ohman","Jake Weber","Jayme Henrickson","Sara Holsen",,"920-684-1317"
"052-TC","Tire Center","Mankato","55181 210th Ln","Mankato","MN","56001","44.1502","-93.9733","West","Seffinga","Weber","Paul Erickson",,,"Raymond Weingartz","507-387-6855"
"082-TC","Tire Center","Mason City","11228 265th St","Mason City","IA","50401","43.1531","-93.2067","West","Seffinga","Weber","Kenn Miller",,"Amanda Pridemore",,"641-423-5164"
"616-TC","Tire Center","Mattawan","24069 W McGillen Ave","Mattawan","MI","49071","42.2234","-85.7892","East","Sharrett","Hagenow","Adam Tuinstra",,,,"269-668-4576"
"617-TC","Tire Center","Mount Pleasant","704 E Pickard St","Mt Pleasant","MI","48858","43.6061","-84.764","East","Fields","Hagenow","Justin Brewer","Chris Fields",,"David Myers","989-773-7978"
"817-WHL","Retread","Mt Pleasant Wheel","704 E Pickard St","Mt Pleasant","MI","48858","43.6061","-84.764","East","Kusilek","Kusilek","Justin Brewer","Chris Fields","Brenda Gallegos",,"989-773-7978"
"614-TC","Tire Center","Muskegon","1281 E Laketon Ave","Muskegon","MI","49442","43.2364","-86.2157","East","Corson","Hagenow","Austin Green","Dustin Fritch",,,"231-728-9148"
"087-TC","Tire Center","Norfolk","2200 S 13th St","Norfolk","NE","68701","42.0125","-97.4148","West","Alex","Weber","Thom McNutt",,"Melissa Nelson",,"402-379-4494"
"080-TC","Tire Center","Omaha","7728 F St","Omaha","NE","68127","41.2207","-96.0336","West","St Aubin","Weber","Justin Flemington",,"Samantha Tyler",,"402-331-1999"
"780-RTRD","Retread","Omaha Retread","2216 S 21st St","Omaha","NE","68108","41.2365","-95.941","West","Kusilek","Kusilek","Mark Brown",,,,"531-365-0279"
"074-TC","Tire Center","Preston","1400 Energy Dr","Preston","MN","55965","43.6713","-92.0842","Central","Westphall","Ohman","Phillip Crawford",,"Karly Flood",,"507-765-9871"
"067-TC","Tire Center","Rochester","4525 Morris Ln NE","Rochester","MN","55906","44.0666","-92.4503","West","Seffinga","Weber","Jon Severson",,"Yer Chang","Tim Mann","507-282-4277"
"020-TC","Tire Center","Romeoville","850 N Independence Blvd","Romeoville","IL","60446","41.6526","-88.1007","Central","B Ruhaak","Ohman","Chris Roney","Shelly Taylor","Heather Cielenski / Victoria Ellickson","Rick Noltemeyer","630-378-1016"
"720-RTRD","Retread","Romeoville Retread","850 N Independence Blvd","Romeoville","IL","60446","41.6526","-88.1007","Central","Kusilek","Kusilek","Juan Hernandez","Shelly Taylor",,,"630-378-1016"
"820-WHL","Retread","Romeoville Wheel","850 N Independence Blvd","Romeoville","IL","60446","41.6526","-88.1007","Central","Kusilek","Kusilek","Chris Roney","Shelly Taylor",,,"630-378-1016"
"613-TC","Tire Center","Saginaw","3685 E Washington Rd","Saginaw","MI","48601","43.4202","-83.8854","East","Fields","Hagenow","Ed Schmitt",,,"Chris Erway","989-525-2541"
"620-TC","Tire Center","Saginaw Fleet","3100 Freeway Ln","Saginaw","MI","48601","43.4321","-83.907","East","Fields","Hagenow","David Obendorfer",,,"Duane Krueger","989-755-1549"
"580-DIST","Distribution","Shenandoah Warehouse","1600 Airport Rd Ste 3","Shenandoah","IA","51601","40.7606","-95.3854","Distribution","Breslin","Breslin","Mike McKinley",,,,"712-250-2541"
"042-TC","Tire Center","Sioux City","5301 Al Haynes Dr","Sioux City","IA","51111","42.4351","-96.3762","West","Cadwallader","Weber","Brian Fiedler",,"Molli Jo Henry",,"712-717-7222"
"043-TC","Tire Center","Sioux Falls","3813 N National Ave","Sioux Falls","SD","57104","43.5822","-96.7732","West","Cadwallader","Weber","Gary Winter",,"Katie Bosch","Alan Hehn","605-231-9185"
"619-TC","Tire Center","South Holland","555 E 162nd St","South Holland","IL","60473","41.6007","-87.592","Central","B Ruhaak","Ohman","Juan Fernandez",,,"Marcus Parham","708-556-4500"
"511-TC","Tire Center","Stevens Point","5239 Harding Ave","Stevens Point","WI","54481","44.5236","-89.5746","Central","Westphall","Ohman","Jody Lane",,,,"715-672-2884"
"021-TC","Tire Center","Waterloo","2086 Howard Ave","Waterloo","IA","50702","42.4739","-92.3154","Central","Maahs","Ohman","Kevin Heisler",,,,"319-232-6448"
"061-TC","Tire Center","Waukesha","525 Progress Ave","Waukesha","WI","53186","43.0103","-88.2527","Central","B Ruhaak","Ohman","Chris Matheny","Aaron Stephens","Juliann Behling",,"262-896-8940"
"024-TC","Tire Center","West Burlington","1207 S Broadway St","West Burlington","IA","52655","40.8252","-91.1551","Central","Maahs","Ohman","Scott Haubrich",,,"Tahnee Justus","319-753-2895"
"611-TC","Tire Center","Zeeland","3254 Production Ct","Zeeland","MI","49464","42.8037","-86.0104","East","Corson","Hagenow","Cody Schuur",,,,"616-772-0300"
